,buleprint_id,product_id,product_name,product_cost,invent_cost,isRecount,product_price,product_quantity,product_value,material_total,profit,profit_rate,product_time,profit_pre_time,profit_pre_day,full_eff_material_total,full_eff_profit,full_eff_profit_rate,full_eff_profit_pre_time,full_eff_profit_pre_day,is_full_working,order_volumn,orders_profit,full_working_days,is_full_working_full_eff,eff_full_order_volumn,eff_full_orders_profit,full_working_days_full_eff,product_metaGroupID,update_time
26,25897,25896,大型辅助纳米聚合器 I,153260,0,False,8029000,1,8029000,7529190,-54900.527244,-0.01,4500,-12.200117165333332,-1054090,6851650,871695,0.12,193.71005819075555,16736549,True,56.0,5510060,2.9166666666666665,True,56,43452300,2.9166666666666665,1,2023-05-15
27,33899,33898,大型横贯舱壁 I,140399,0,False,7872000,1,7872000,7659141,-321140.883596,-0.05,4500,-71.36464079911111,-6165904,6900600,612360,0.08,136.08003621457777,11757315,False,0.0,0,0.0,True,331,179932550,17.239583333333332,1,2023-05-15
28,25899,25898,大型纳米机器人加速器 I,131867,0,False,7774000,1,7774000,7529190,-275757.213856,-0.04,4500,-61.279380856888885,-5294538,6851650,562495,0.08,124.99908902257776,10799921,False,0.0,0,0.0,True,341,180248500,17.760416666666668,1,2023-05-15
29,26069,26068,大型超空间速度调节器 I,69676,0,False,3404000,1,3404000,3056557,107566.1664639999,0.03,4500,23.903592547555537,2065270,2759332,566706,0.2,125.93481178880003,10880767,True,79.0,13919539,4.114583333333333,True,115,44260978,5.989583333333333,1,2023-05-15
30,34307,34306,大型希格斯粒子锚 I,44035,0,False,2256000,1,2256000,1881526,217638.1725879999,0.11,4500,48.36403835288887,4178652,1699836,559058,0.32,124.23518258293336,10733919,False,15.0,1979508,0.78125,True,66,9902864,3.4375,1,2023-05-15
31,12297,12198,小型机动跃迁扰断器 I,38203,0,False,1588000,1,1588000,1474374,-3977.509420000162,-0.01,1500,-2.6516729466667748,-229104,1365616,146692,0.1,97.79484454133336,8449474,True,1496.0,36140167,25.97222222222222,True,1535,201539534,26.64930555555556,1,2023-05-15
32,27309,17368,空间站仓库货柜,30929,0,False,1566000,1,1566000,1504850,-48080.770492000105,-0.04,1500,-32.053846994666735,-2769452,1354411,143301,0.1,95.53460887413348,8254190,False,2.0,2690298,0.0347222222222222,True,231,31292175,4.010416666666667,1,2023-05-15
33,31361,31360,中型辅助电源路由器 I,49107,0,False,2601000,1,2601000,2422516,-673.9805799999958,-0.01,3000,-0.2246601933333319,-19410,2221301,280757,0.12,93.58580906266668,8085813,True,100.0,4824400,3.4722222222222223,True,1186,178810014,41.18055555555556,1,2023-05-15
34,31162,31161,中型超空间速度调节器 I,15458,0,False,754100,1,754100,606668,94268.05338799996,0.15,3000,31.42268446266665,2714919,562153,194296,0.34,64.76537824773332,5595728,True,625.0,65780709,21.70138888888889,True,776,95303384,26.944444444444443,1,2023-05-15
35,32044,32043,中型无人机采矿增量器 I,14309,0,False,601600,1,601600,464029,93181.834788,0.2,3000,31.060611596,2683636,428606,180046,0.42,60.015589567733336,5185346,True,46.0,4964536,1.5972222222222223,True,46,6593994,1.5972222222222223,1,2023-05-15
36,2039,2038,货柜扫描器 II,14711,54807,False,819200,1,819200,438259,270461.589592,0.61,4680,57.79093794700855,4993137,438259,270461,0.61,57.79093794700855,4993137,True,2155.0,533819663,116.72916666666669,True,2155,533954807,116.72916666666669,2,2023-05-15
37,57520,57483,神经链接增强器存储装置,2412207,0,True,133400000,1,133400000,129395000,-5077207.60332,-0.04,16000,-317.3254752075,-27416921,116455500,11007209,0.09,687.9505847094999,59438930,False,0.0,0,0.0,True,1,10274500,0.1851851851851851,1,2023-05-16
38,2779,20062,加达里小型控制塔,2766443,0,True,142700000,1,142700000,129464940,3333616.3636040003,0.02,30000,111.12054545346668,9600815,126369592,9000550,0.07,300.01833696818665,25921584,True,15.0,70505900,5.208333333333333,True,15,116936120,5.208333333333333,1,2023-05-16
39,62674,62626,大型气云压缩装置 I,2171382,0,False,114200000,1,114200000,116099000,-9780382.04078,-0.09,21600,-452.79546485092595,-39121528,104489100,2561325,0.02,118.57986772722222,10245300,False,0.0,0,0.0,True,25,80642500,6.25,1,2023-05-16
40,31361,31360,中型辅助电源路由器 I,50821,0,False,2604000,1,2604000,2390388,32590.95033,0.01,3000,10.86365011,938619,2189743,326530,0.14,108.84344348733333,9404073,True,277.0,22623474,9.618055555555555,True,1133,227302081,39.34027777777778,1,2023-05-16
41,46353,46366,普通卫星矿石采集晶体A型 II,23330,117234,False,805500,1,805500,561620,63040.784572000004,0.11,480,131.33496785833333,11347341,561620,63040,0.11,131.33496785833333,11347341,True,521.0,40065751,2.8944444444444444,True,521,40721371,2.8944444444444444,2,2023-05-16
42,46351,46356,常见卫星矿石采集晶体A型 II,17240,117234,True,839100,1,839100,590833,71836.61971599999,0.12,480,149.65962440833331,12930591,590833,71836,0.12,149.65962440833331,12930591,True,1018.0,88922255,5.655555555555556,True,1018,96897635,5.655555555555556,2,2023-05-16
43,62593,62591,中型工业核心 II,922945,123780,False,44880000,1,44880000,37790825,3798449.475374,0.1,35100,108.21793377133903,9350029,37790825,3798449,0.1,108.21793377133903,9350029,True,101.0,423366395,41.03125,True,101,434659398,41.03125,2,2023-05-16
